Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
17-23 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Often,Sometimes,Neutral,A little,Always,Good,Poor,Not sure,Yes,"['Self-help resources (books, articles, videos)']",Maybe,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Other (please specify)']",We should integrate mental health education into the school curriculum to ensure Gen Z has access to educational materials.
17-23 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Always,Yes,Neutral,Significantly,Never,Very poor,Average,No,Yes,"['AI-powered chatbots', 'Support groups']",No,['Tips for managing digital device usage'],Providing self-help tools and mental health hotlines can significantly improve mental health for Gen Z.
17-23 years,Female,Employed,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Rarely,No,Often,Sometimes,Somewhat comfortable,Significantly,Sometimes,Average,Poor,No,Yes,['In-person counseling'],Maybe,['Other (please specify)'],Providing professional help and peer support can significantly improve mental health for Gen Z.
23-27 years,Female,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Always,No,Very uncomfortable,Not at all,Rarely,Average,Very Poor,No,Yes,"['Support groups', 'Online therapy sessions']",Yes,"['Other (please specify)', 'Connection to professional help', 'Resources for mental health (articles, videos, etc.)']",Fostering develop and promote mental health apps and increase accessibility to mental health services can lead to stronger support networks.
23-27 years,Male,Employed,4-6 hours,['Watching videos/Movies'],Rarely,Yes,Always,Sometimes,Very uncomfortable,A lot,Always,Very poor,Very Poor,Not sure,No,"['In-person counseling', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Immediate emotional support']",Fostering encourage regular mental health check-ups and provide online and offline support groups can lead to more resilient mental health.
12-17 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Rarely,Sometimes,Rarely,Yes,Somewhat uncomfortable,Significantly,Sometimes,Very good,Very Good,Yes,No,['AI-powered chatbots'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",Fostering develop and promote mental health apps and promote mental health awareness campaigns can lead to better coping mechanisms.
17-23 years,Female,Student,2-4 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Often,Yes,Often,Yes,Very comfortable,Moderately,Never,Poor,Good,No,No,"['Self-help resources (books, articles, videos)']",Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help']",Integrating create more inclusive and diverse mental health resources into social media can help in supporting Gen Z's mental health.
Under 12 years,Male,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Rarely,Sometimes,Never,No,Somewhat uncomfortable,Significantly,Never,Very good,Good,Yes,No,['Other (please specify)'],Maybe,"['Connection to professional help', 'Other (please specify)', 'Tips for managing digital device usage']",Gen Z's mental health can greatly benefit from promote mindfulness and relaxation techniques and offer regular mental health workshops provided in universities.
17-23 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Work/Professional tasks', 'Gaming']",Often,Sometimes,Sometimes,Yes,Very uncomfortable,A little,Never,Good,Average,Not sure,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Connection to professional help', 'Tips for managing digital device usage']",It's essential to reduce the stigma associated with seeking mental health help for better mental health outcomes in Gen Z.
12-17 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Never,Sometimes,Sometimes,Sometimes,Very comfortable,A little,Sometimes,Poor,Poor,Not sure,Yes,"['Online therapy sessions', 'Other (please specify)']",Maybe,['Immediate emotional support'],workplaces should prioritize reduce the stigma associated with seeking mental health help and promote mental health through social media for better mental health support.
12-17 years,Female,Student,2-4 hours,['Watching videos/Movies'],Often,Sometimes,Sometimes,No,Somewhat comfortable,A lot,Rarely,Good,Average,Yes,Yes,['Online therapy sessions'],Maybe,"['Daily check-ins/mood tracking', 'Other (please specify)', 'Tips for managing digital device usage']",offer anonymous counseling services can greatly benefit the mental health of Gen Z.
23-27 years,Male,Student,2-4 hours,"['Gaming', 'Work/Professional tasks']",Always,No,Often,Yes,Neutral,Moderately,Sometimes,Good,Good,Not sure,Yes,"['AI-powered chatbots', 'In-person counseling']",No,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)']",youth centers should prioritize create more inclusive and diverse mental health resources and encourage physical and recreational activities for better mental health support.
17-23 years,Male,Student,Less than 2 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Often,Yes,Often,No,Somewhat uncomfortable,Not at all,Never,Average,Average,Yes,No,"['Other (please specify)', 'AI-powered chatbots']",No,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, implement mental health programs and workshops in universities."
12-17 years,Male,Student,2-4 hours,['Studying/Educational purposes'],Always,Yes,Rarely,No,Somewhat comfortable,Significantly,Sometimes,Very good,Average,Yes,No,"['Self-help resources (books, articles, videos)', 'AI-powered chatbots']",Yes,"['Tips for managing digital device usage', 'Other (please specify)']",workplaces should prioritize reduce the stigma associated with seeking mental health help and increase accessibility to mental health services for better mental health support.
23-27 years,Female,Employed,2-4 hours,['Studying/Educational purposes'],Sometimes,No,Sometimes,Sometimes,Very uncomfortable,A lot,Rarely,Average,Average,No,Yes,"['In-person counseling', 'Support groups']",Maybe,['Other (please specify)'],"By encourage open discussions about mental health, we can improve and enhanced well-being."
23-27 years,Female,Student,4-6 hours,"['Gaming', 'Studying/Educational purposes']",Rarely,Sometimes,Always,Sometimes,Somewhat comfortable,Moderately,Always,Average,Average,No,No,"['AI-powered chatbots', 'Online therapy sessions']",Yes,['Daily check-ins/mood tracking'],We should encourage regular mental health check-ups to ensure Gen Z has access to supportive services.
17-23 years,Male,Self-employed,Less than 2 hours,['Studying/Educational purposes'],Rarely,Sometimes,Sometimes,Sometimes,Somewhat comfortable,Not at all,Never,Average,Good,No,No,['Online therapy sessions'],Yes,"['Daily check-ins/mood tracking', 'Connection to professional help', 'Tips for managing digital device usage']","To improve mental health support for Gen Z, create safe spaces for Gen Z to share experiences in healthcare settings."
23-27 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Sometimes,Yes,Sometimes,No,Neutral,Not at all,Often,Average,Good,Not sure,No,['In-person counseling'],Yes,"['Tips for managing digital device usage', 'Connection to professional help']",encourage physical activities and hobbies can help bridge the gap in mental health support for Gen Z in schools.
17-23 years,Male,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Watching videos/Movies']",Often,No,Often,No,Somewhat uncomfortable,Not at all,Never,Good,Poor,No,Yes,"['Online therapy sessions', 'Support groups']",Maybe,['Connection to professional help'],increase funding for mental health research can greatly benefit the mental health of Gen Z.
17-23 years,Female,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Sometimes,Sometimes,Often,No,Somewhat comfortable,Significantly,Rarely,Average,Poor,No,No,"['Other (please specify)', 'Support groups']",Maybe,"['Resources for mental health (articles, videos, etc.)']","By integrate mental health education into the school curriculum, we can encourage and better coping mechanisms."
17-23 years,Male,Employed,4-6 hours,['Gaming'],Often,Yes,Always,No,Somewhat comfortable,Not at all,Often,Average,Poor,No,No,['AI-powered chatbots'],Yes,"['Connection to professional help', 'Daily check-ins/mood tracking', 'Other (please specify)']",It's essential to provide accessible and affordable mental health services for better mental health outcomes in Gen Z.
17-23 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Often,Sometimes,Very comfortable,Moderately,Never,Average,Average,No,No,"['Other (please specify)', 'Support groups']",No,"['Connection to professional help', 'Tips for managing digital device usage']",encourage employers to provide mental health support and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
27 years and above,Male,Employed,2-4 hours,"['Gaming', 'Watching videos/Movies', 'Studying/Educational purposes']",Often,Sometimes,Sometimes,No,Very comfortable,A little,Never,Good,Average,Not sure,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Tips for managing digital device usage', 'Connection to professional help']",Gen Z's mental health can greatly benefit from create safe spaces for Gen Z to share experiences and promote mental health through social media provided in universities.
17-23 years,Male,Student,Less than 2 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Gaming']",Sometimes,Yes,Sometimes,No,Somewhat uncomfortable,Significantly,Never,Average,Poor,No,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,"['Other (please specify)', 'Tips for managing digital device usage']",increase mental health awareness can help bridge the gap in mental health support for Gen Z in healthcare settings.
17-23 years,Female,Employed,4-6 hours,"['Studying/Educational purposes', 'Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Sometimes,No,Neutral,Not at all,Always,Average,Poor,No,Yes,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking', 'Other (please specify)']",Supporting Gen Z's mental health requires ensure mental health resources are culturally sensitive and promote mental health through social media.
27 years and above,Male,Unemployed,More than 6 hours,"['Watching videos/Movies', 'Gaming', 'Work/Professional tasks']",Sometimes,No,Sometimes,No,Somewhat uncomfortable,Moderately,Sometimes,Poor,Poor,Yes,No,['Online therapy sessions'],Yes,"['Other (please specify)', 'Connection to professional help']",Fostering promote a healthy balance between digital device usage and offline activities and encourage physical and recreational activities can lead to better mental health outcomes.
27 years and above,Female,Employed,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Sometimes,Sometimes,Always,No,Very uncomfortable,A little,Sometimes,Average,Poor,Yes,Yes,"['Support groups', 'Self-help resources (books, articles, videos)']",No,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage', 'Other (please specify)']",Supporting Gen Z's mental health requires integrate mental health education into the school curriculum and promote mental health awareness campaigns.
12-17 years,Female,Student,2-4 hours,"['Gaming', 'Studying/Educational purposes']",Never,No,Rarely,No,Very uncomfortable,Significantly,Never,Very good,Very Good,Not sure,Yes,"['Support groups', 'AI-powered chatbots']",No,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",Gen Z's mental health can greatly benefit from increase mental health awareness and create mental health hotlines provided in online platforms.
27 years and above,Female,Unemployed,2-4 hours,['Work/Professional tasks'],Never,No,Always,Sometimes,Very comfortable,A lot,Often,Poor,Very Poor,No,Yes,"['Self-help resources (books, articles, videos)', 'Other (please specify)']",Yes,"['Other (please specify)', 'Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']",educational materials and educational workshops are vital for communities to effectively support Gen Z's mental health.
12-17 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Gaming']",Rarely,Sometimes,Rarely,No,Somewhat comfortable,Significantly,Often,Average,Very Good,Yes,No,['Other (please specify)'],Yes,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Other (please specify)']",public spaces should prioritize increase peer support programs and offer regular mental health workshops for better mental health support.
Under 12 years,Male,Student,2-4 hours,['Work/Professional tasks'],Sometimes,Sometimes,Sometimes,Yes,Neutral,A lot,Rarely,Average,Good,Not sure,No,"['Self-help resources (books, articles, videos)']",Maybe,['Immediate emotional support'],It's important to reduce the stigma associated with seeking mental health help and promote mental health awareness campaigns to promote reduced stigma for Gen Z.
23-27 years,Male,Employed,2-4 hours,['Studying/Educational purposes'],Rarely,Yes,Often,No,Somewhat comfortable,A lot,Sometimes,Good,Good,No,No,"['Self-help resources (books, articles, videos)']",Maybe,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']","By promote a healthy balance between digital device usage and offline activities, we can enhance and greater emotional support."
Under 12 years,Female,Student,More than 6 hours,"['Gaming', 'Watching videos/Movies', 'Work/Professional tasks']",Always,Sometimes,Sometimes,Sometimes,Very comfortable,Moderately,Sometimes,Average,Poor,Not sure,Yes,"['AI-powered chatbots', 'Online therapy sessions']",Maybe,['Other (please specify)'],It's important to increase funding for mental health research and provide online and offline support groups to promote better mental health outcomes for Gen Z.
17-23 years,Male,Student,More than 6 hours,['Work/Professional tasks'],Sometimes,No,Always,Sometimes,Very uncomfortable,Significantly,Sometimes,Average,Very Poor,Not sure,No,['Online therapy sessions'],No,['Connection to professional help'],Integrating ensure mental health resources are culturally sensitive into educational institutions can help in supporting Gen Z's mental health.
27 years and above,Female,Employed,2-4 hours,"['Work/Professional tasks', 'Gaming']",Sometimes,No,Often,No,Very comfortable,A little,Often,Average,Average,Not sure,No,"['AI-powered chatbots', 'Online therapy sessions']",Yes,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']",One way to support Gen Z's mental health is by encourage employers to provide mental health support and increase accessibility to mental health services.
23-27 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Never,No,Sometimes,Yes,Very uncomfortable,A lot,Always,Average,Good,No,Yes,['Other (please specify)'],Yes,['Immediate emotional support'],Fostering encourage physical activities and hobbies and promote mental health through social media can lead to improved overall health.
17-23 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,No,Always,No,Very uncomfortable,A lot,Rarely,Average,Average,Yes,No,"['In-person counseling', 'Other (please specify)']",Yes,"['Resources for mental health (articles, videos, etc.)']",We should ensure mental health resources are culturally sensitive to ensure Gen Z has access to community support.
17-23 years,Female,Employed,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Gaming']",Often,Yes,Often,No,Very uncomfortable,A little,Always,Average,Average,No,No,"['Self-help resources (books, articles, videos)']",Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help']",counseling and therapy and peer support are vital for educational institutions to effectively support Gen Z's mental health.
12-17 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Rarely,No,Neutral,A lot,Sometimes,Very good,Very Good,No,Yes,['Online therapy sessions'],Yes,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",It's important to promote mindfulness and relaxation techniques and create mental health hotlines to promote improved overall health for Gen Z.
12-17 years,Female,Student,2-4 hours,['Watching videos/Movies'],Never,Sometimes,Sometimes,Sometimes,Very uncomfortable,A little,Often,Good,Average,Not sure,Yes,"['Support groups', 'Self-help resources (books, articles, videos)']",Yes,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",It's important to encourage physical activities and hobbies and offer mental health training programs to promote improved access to support for Gen Z.
23-27 years,Male,Employed,Less than 2 hours,['Gaming'],Sometimes,Sometimes,Always,No,Somewhat comfortable,Moderately,Sometimes,Average,Poor,Not sure,Yes,['In-person counseling'],No,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']",self-help tools and online and offline resources are vital for universities to effectively support Gen Z's mental health.
Under 12 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Gaming']",Always,Yes,Rarely,Sometimes,Somewhat uncomfortable,Not at all,Often,Very good,Very Good,Yes,Yes,['Support groups'],No,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires implement mental health programs and workshops and offer mental health training programs.
Under 12 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Sometimes,Yes,Rarely,Sometimes,Very uncomfortable,A lot,Sometimes,Average,Good,No,No,"['Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Other (please specify)']",Encouraging encourage regular mental health check-ups among Gen Z can lead to better coping mechanisms.
12-17 years,Female,Student,4-6 hours,['Work/Professional tasks'],Never,Yes,Sometimes,Yes,Very comfortable,A lot,Often,Poor,Good,Not sure,No,['Online therapy sessions'],Maybe,"['Daily check-ins/mood tracking', 'Other (please specify)']",We should encourage open discussions about mental health to ensure Gen Z has access to online resources.
12-17 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Gaming', 'Work/Professional tasks']",Never,Yes,Never,No,Somewhat uncomfortable,Not at all,Never,Very good,Good,No,Yes,['Support groups'],Maybe,"['Connection to professional help', 'Other (please specify)']","By encourage regular mental health check-ups, we can encourage and more resilient mental health."
27 years and above,Male,Other (please specify),2-4 hours,"['Gaming', 'Studying/Educational purposes']",Often,Yes,Often,No,Somewhat uncomfortable,A little,Never,Average,Average,No,No,"['Support groups', 'Other (please specify)']",Yes,['Connection to professional help'],counseling and therapy and professional counseling are vital for communities to effectively support Gen Z's mental health.
17-23 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Gaming']",Often,Yes,Sometimes,No,Somewhat uncomfortable,A lot,Rarely,Poor,Poor,Yes,Yes,['AI-powered chatbots'],Maybe,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",encourage open discussions about mental health and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
17-23 years,Male,Student,More than 6 hours,['Gaming'],Rarely,Sometimes,Often,No,Very comfortable,A little,Always,Average,Average,Not sure,No,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",No,['Connection to professional help'],Fostering provide accessible and affordable mental health services and provide online and offline support groups can lead to enhanced well-being.
12-17 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Often,Sometimes,Never,No,Very uncomfortable,A lot,Never,Good,Good,Not sure,No,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",Yes,['Immediate emotional support'],Encouraging reduce the stigma associated with seeking mental health help among Gen Z can lead to enhanced well-being.
17-23 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Rarely,Yes,Often,Yes,Neutral,Significantly,Never,Average,Average,Yes,Yes,"['Support groups', 'Other (please specify)']",Maybe,"['Tips for managing digital device usage', 'Connection to professional help', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, promote mindfulness and relaxation techniques in schools."
12-17 years,Male,Student,More than 6 hours,['Gaming'],Sometimes,No,Rarely,Sometimes,Very comfortable,Not at all,Often,Very good,Good,No,No,['Support groups'],No,"['Other (please specify)', 'Immediate emotional support']","By promote a healthy balance between digital device usage and offline activities, we can foster and greater emotional support."
17-23 years,Female,Unemployed,4-6 hours,"['Gaming', 'Studying/Educational purposes']",Sometimes,Sometimes,Often,Yes,Very comfortable,Moderately,Often,Good,Good,Yes,Yes,['AI-powered chatbots'],Maybe,"['Immediate emotional support', 'Daily check-ins/mood tracking', 'Connection to professional help']",provide accessible and affordable mental health services can help bridge the gap in mental health support for Gen Z in social media.
27 years and above,Male,Unemployed,4-6 hours,['Gaming'],Often,Sometimes,Often,No,Very comfortable,Moderately,Rarely,Good,Average,No,No,"['Support groups', 'Other (please specify)']",No,['Other (please specify)'],It's important to provide accessible and affordable mental health services and offer mental health training programs to promote reduced stigma for Gen Z.
17-23 years,Male,Employed,4-6 hours,['Studying/Educational purposes'],Always,Sometimes,Always,No,Neutral,Significantly,Sometimes,Average,Average,No,No,"['Support groups', 'Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",It's essential to implement mental health programs and workshops for better mental health outcomes in Gen Z.
23-27 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Sometimes,No,Neutral,Not at all,Never,Good,Good,Yes,Yes,['Other (please specify)'],Yes,['Other (please specify)'],social media should prioritize provide mental health training for teachers and parents and create supportive community environments for better mental health support.
17-23 years,Male,Student,4-6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Never,Yes,Sometimes,No,Somewhat uncomfortable,Moderately,Often,Average,Average,Yes,No,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",No,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",online resources and educational workshops are vital for public spaces to effectively support Gen Z's mental health.
12-17 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Rarely,Sometimes,Rarely,Sometimes,Somewhat comfortable,Not at all,Rarely,Good,Very Good,Yes,Yes,['AI-powered chatbots'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']","By encourage physical activities and hobbies, we can support and greater awareness and education."
17-23 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Sometimes,Sometimes,Sometimes,No,Somewhat uncomfortable,A lot,Rarely,Good,Average,Yes,No,"['In-person counseling', 'Self-help resources (books, articles, videos)']",Maybe,"['Immediate emotional support', 'Connection to professional help', 'Resources for mental health (articles, videos, etc.)']","By promote a healthy balance between digital device usage and offline activities, we can foster and better mental health outcomes."
17-23 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,No,Often,Sometimes,Somewhat comfortable,A lot,Often,Good,Average,Not sure,Yes,"['In-person counseling', 'Support groups']",No,"['Immediate emotional support', 'Tips for managing digital device usage']",counseling and therapy and support networks are vital for youth centers to effectively support Gen Z's mental health.
23-27 years,Male,Student,2-4 hours,['Studying/Educational purposes'],Often,Sometimes,Sometimes,Sometimes,Very uncomfortable,Significantly,Always,Average,Average,Yes,No,['AI-powered chatbots'],No,['Tips for managing digital device usage'],One way to support Gen Z's mental health is by develop and promote mental health apps and develop mental health apps and tools.
Under 12 years,Female,Student,2-4 hours,['Watching videos/Movies'],Rarely,No,Sometimes,No,Somewhat comfortable,Significantly,Always,Poor,Good,Yes,No,"['Self-help resources (books, articles, videos)']",Maybe,"['Resources for mental health (articles, videos, etc.)', 'Connection to professional help', 'Other (please specify)']",Supporting Gen Z's mental health requires provide accessible and affordable mental health services and increase accessibility to mental health services.
Under 12 years,Female,Student,4-6 hours,['Gaming'],Always,Sometimes,Sometimes,No,Very comfortable,Significantly,Always,Average,Average,No,Yes,"['Other (please specify)', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Connection to professional help']",Encouraging encourage open discussions about mental health among Gen Z can lead to greater emotional support.
23-27 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Always,Yes,Somewhat comfortable,Significantly,Often,Poor,Average,No,No,"['In-person counseling', 'Online therapy sessions']",No,['Connection to professional help'],"By increase peer support programs, we can improve and greater emotional support."
12-17 years,Female,Student,More than 6 hours,['Studying/Educational purposes'],Rarely,No,Never,No,Neutral,A little,Rarely,Good,Very Good,Not sure,No,['Other (please specify)'],No,['Daily check-ins/mood tracking'],increase mental health awareness and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
12-17 years,Male,Student,4-6 hours,['Studying/Educational purposes'],Always,Yes,Rarely,Sometimes,Very comfortable,A lot,Rarely,Very good,Average,Yes,Yes,"['Other (please specify)', 'In-person counseling']",Yes,"['Connection to professional help', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']",One way to support Gen Z's mental health is by implement mental health programs and workshops and create supportive community environments.
Under 12 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Often,Yes,Rarely,No,Somewhat uncomfortable,Significantly,Often,Very good,Very Good,Yes,Yes,"['Online therapy sessions', 'AI-powered chatbots']",Yes,"['Connection to professional help', 'Immediate emotional support', 'Other (please specify)']",Gen Z's mental health can greatly benefit from increase peer support programs and develop mental health apps and tools provided in universities.
17-23 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Watching videos/Movies']",Always,Yes,Often,Sometimes,Very uncomfortable,Not at all,Sometimes,Poor,Average,Not sure,No,['Support groups'],Maybe,['Connection to professional help'],Gen Z's mental health can greatly benefit from improve access to online mental health resources and create mental health hotlines provided in workplaces.
27 years and above,Male,Employed,4-6 hours,['Watching videos/Movies'],Sometimes,No,Sometimes,No,Very comfortable,A little,Rarely,Poor,Good,Not sure,Yes,"['AI-powered chatbots', 'Self-help resources (books, articles, videos)']",Maybe,"['Immediate emotional support', 'Daily check-ins/mood tracking', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires promote mindfulness and relaxation techniques and offer mental health training programs.
17-23 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Often,Sometimes,Always,No,Very uncomfortable,A lot,Never,Poor,Very Poor,Yes,Yes,['Support groups'],No,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)', 'Other (please specify)']","By implement mental health programs and workshops, we can encourage and improved access to support."
12-17 years,Female,Student,2-4 hours,['Studying/Educational purposes'],Always,No,Sometimes,No,Somewhat comfortable,A lot,Always,Good,Average,Yes,No,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking', 'Immediate emotional support']","By ensure mental health resources are culturally sensitive, we can improve and greater awareness and education."
Under 12 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,No,Sometimes,Sometimes,Very comfortable,A lot,Sometimes,Average,Good,Yes,No,"['In-person counseling', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']",Encouraging promote a healthy balance between digital device usage and offline activities among Gen Z can lead to better coping mechanisms.
Under 12 years,Non-binary,Student,More than 6 hours,['Studying/Educational purposes'],Rarely,Sometimes,Never,No,Very uncomfortable,Significantly,Never,Very good,Good,Not sure,Yes,"['In-person counseling', 'Online therapy sessions']",Maybe,"['Immediate emotional support', 'Other (please specify)']",Supporting Gen Z's mental health requires create safe spaces for Gen Z to share experiences and increase accessibility to mental health services.
